GEOGRAPHY_CODE,CELL,OBS_VALUE,CELL_NAME
E01010825,0,1346,All usual residents
E01010826,0,1468,All usual residents
E01010827,0,1322,All usual residents
E01010828,0,1624,All usual residents
E01010829,0,1650,All usual residents
E01010830,0,1836,All usual residents
E01010831,0,1995,All usual residents
E01010832,0,1750,All usual residents
E01010833,0,1663,All usual residents
E01010834,0,3721,All usual residents
E01010835,0,3196,All usual residents
E01010836,0,2249,All usual residents
E01010837,0,2188,All usual residents
E01010838,0,1920,All usual residents
E01010839,0,1664,All usual residents
E01010840,0,1664,All usual residents
E01010841,0,1827,All usual residents
E01010842,0,1945,All usual residents
E01010843,0,2125,All usual residents
E01010845,0,2031,All usual residents
E01010846,0,2150,All usual residents
E01010847,0,1579,All usual residents
E01010848,0,1504,All usual residents
E01010849,0,1429,All usual residents
E01010850,0,1381,All usual residents
E01010851,0,1585,All usual residents
E01010852,0,1594,All usual residents
E01010853,0,1325,All usual residents
E01010854,0,1756,All usual residents
E01010855,0,1755,All usual residents
E01010856,0,1601,All usual residents
E01010857,0,1580,All usual residents
E01010858,0,1584,All usual residents
E01010859,0,1650,All usual residents
E01010860,0,1549,All usual residents
E01010861,0,1837,All usual residents
E01010862,0,1726,All usual residents
E01010863,0,1505,All usual residents
E01010864,0,1320,All usual residents
E01010865,0,1618,All usual residents
E01010866,0,1379,All usual residents
E01010867,0,1468,All usual residents
E01010868,0,1602,All usual residents
E01010869,0,1694,All usual residents
E01010870,0,1503,All usual residents
E01010871,0,1686,All usual residents
E01010872,0,1627,All usual residents
E01010873,0,1224,All usual residents
E01010874,0,1240,All usual residents
E01011264,0,1279,All usual residents
E01011265,0,1625,All usual residents
E01011266,0,2027,All usual residents
E01011267,0,1496,All usual residents
E01011268,0,1394,All usual residents
E01011269,0,1552,All usual residents
E01011270,0,1616,All usual residents
E01011271,0,2158,All usual residents
E01011272,0,1521,All usual residents
E01011273,0,1487,All usual residents
E01011274,0,1488,All usual residents
E01011275,0,1350,All usual residents
E01011276,0,1384,All usual residents
E01011277,0,1511,All usual residents
E01011278,0,1631,All usual residents
E01011279,0,1312,All usual residents
E01011280,0,1757,All usual residents
E01011281,0,1878,All usual residents
E01011282,0,1378,All usual residents
E01011283,0,1331,All usual residents
E01011284,0,1751,All usual residents
